R210_03,Reduction_forced_self: ...work colleagues?,METRIC,SCALE,Compared to usually. how much were //__you forced__// to reduce physical contacts //__in the past week__// with...
R210_04,Reduction_forced_self: ...strangers during recreational activities in public spaces (e.g. eating at restaurants. going to concerts or sporting events)?,METRIC,SCALE,Compared to usually. how much were //__you forced__// to reduce physical contacts //__in the past week__// with...
R210_05,Reduction_forced_self: …strangers during travelling for leisure?,METRIC,SCALE,Compared to usually. how much were //__you forced__// to reduce physical contacts //__in the past week__// with...
R210_06,Reduction_forced_self: …strangers during commuting to work or shopping necessities?,METRIC,SCALE,Compared to usually. how much were //__you forced__// to reduce physical contacts //__in the past week__// with...
R211_01,Reduction_forced_average: ...family members?,METRIC,SCALE,Compared to usually. how much was //__an average person forced__// to reduce physical contacts //__in the past week__// with...
R211_02,Reduction_forced_average: ...friends?,METRIC,SCALE,Compared to usually. how much was //__an average person forced__// to reduce physical contacts //__in the past week__// with...
R211_03,Reduction_forced_average: ...work colleagues?,METRIC,SCALE,Compared to usually. how much was //__an average person forced__// to reduce physical contacts //__in the past week__// with...
R211_04,Reduction_forced_average: ...strangers during recreational activities in public spaces (e.g. eating at restaurants. going to concerts or sporting events)?,METRIC,SCALE,Compared to usually. how much was //__an average person forced__// to reduce physical contacts //__in the past week__// with...
R211_05,Reduction_forced_average: …strangers during travelling for leisure?,METRIC,SCALE,Compared to usually. how much was //__an average person forced__// to reduce physical contacts //__in the past week__// with...
R211_06,Reduction_forced_average: …strangers during commuting to work or shopping necessities?,METRIC,SCALE,Compared to usually. how much was //__an average person forced__// to reduce physical contacts //__in the past week__// with...
R212_01,Suffer_past_week_self: …family members,METRIC,SCALE,In the //__past week__//. how much did //__your__// personal life suffer from corona-virus-related reductions in contacts with...
R212_02,Suffer_past_week_self: …friends,METRIC,SCALE,In the //__past week__//. how much did //__your__// personal life suffer from corona-virus-related reductions in contacts with...
R212_03,Suffer_past_week_self: …work colleagues,METRIC,SCALE,In the //__past week__//. how much did //__your__// personal life suffer from corona-virus-related reductions in contacts with...
R212_04,Suffer_past_week_self: …strangers during pleasurable events (e.g.. restaurants. concerts. sport events. etc.),METRIC,SCALE,In the //__past week__//. how much did //__your__// personal life suffer from corona-virus-related reductions in contacts with...
R212_06,Suffer_past_week_self: …strangers during travelling,METRIC,SCALE,In the //__past week__//. how much did //__your__// personal life suffer from corona-virus-related reductions in contacts with...
R212_05,Suffer_past_week_self: …strangers during commuting or shopping,METRIC,SCALE,In the //__past week__//. how much did //__your__// personal life suffer from corona-virus-related reductions in contacts with...
R213_01,Suffer_past_week_average: …family members,METRIC,SCALE,In the //__past week__//. how much did //__an average person's__// personal life suffer from corona-virus-related reductions in contacts with...
R213_02,Suffer_past_week_average: …friends,METRIC,SCALE,In the //__past week__//. how much did //__an average person's__// personal life suffer from corona-virus-related reductions in contacts with...
R213_03,Suffer_past_week_average: …work colleagues,METRIC,SCALE,In the //__past week__//. how much did //__an average person's__// personal life suffer from corona-virus-related reductions in contacts with...
R213_04,Suffer_past_week_average: …strangers during pleasurable events (e.g.. restaurants. concerts. sport events. etc.),METRIC,SCALE,In the //__past week__//. how much did //__an average person's__// personal life suffer from corona-virus-related reductions in contacts with...
R213_06,Suffer_past_week_average: …strangers during travelling,METRIC,SCALE,In the //__past week__//. how much did //__an average person's__// personal life suffer from corona-virus-related reductions in contacts with...
R213_05,Suffer_past_week_average: …strangers during commuting or shopping,METRIC,SCALE,In the //__past week__//. how much did //__an average person's__// personal life suffer from corona-virus-related reductions in contacts with...
R206_01,N_phsyical_normal: ...a family member?,ORDINAL,SCALE,In a normal week //__before__// the Corona-pandemic. on how many days per week did //__you__// usually have direct physical contact with...
R206_02,N_phsyical_normal: ...a friend?,ORDINAL,SCALE,In a normal week //__before__// the Corona-pandemic. on how many days per week did //__you__// usually have direct physical contact with...
R206_03,N_phsyical_normal: ...a work colleague?,ORDINAL,SCALE,In a normal week //__before__// the Corona-pandemic. on how many days per week did //__you__// usually have direct physical contact with...
R206_04,N_phsyical_normal: ...a stranger during recreational activities in public spaces (e.g. eating at restaurants. going to concerts or sporting events)?,ORDINAL,SCALE,In a normal week //__before__// the Corona-pandemic. on how many days per week did //__you__// usually have direct physical contact with...
R206_05,N_phsyical_normal: ...a stranger during travelling for leisure?,ORDINAL,SCALE,In a normal week //__before__// the Corona-pandemic. on how many days per week did //__you__// usually have direct physical contact with...
R206_06,N_phsyical_normal: ...a stranger during commuting to work or shopping necessities?,ORDINAL,SCALE,In a normal week //__before__// the Corona-pandemic. on how many days per week did //__you__// usually have direct physical contact with...
R205_01,N_phsyical_Corona: ...a family member?,ORDINAL,SCALE,During the //__last week__// on how many days did //__you__// have direct physical contact with...
R205_02,N_phsyical_Corona: ...a friend?,ORDINAL,SCALE,During the //__last week__// on how many days did //__you__// have direct physical contact with...
R205_03,N_phsyical_Corona: ...a work colleague?,ORDINAL,SCALE,During the //__last week__// on how many days did //__you__// have direct physical contact with...
R205_04,N_phsyical_Corona: ...a stranger during recreational activities in public spaces (e.g. eating at restaurants. going to concerts or sporting events)?,ORDINAL,SCALE,During the //__last week__// on how many days did //__you__// have direct physical contact with...
R205_05,N_phsyical_Corona: ...a stranger during travelling for leisure?,ORDINAL,SCALE,During the //__last week__// on how many days did //__you__// have direct physical contact with...
R205_06,N_phsyical_Corona: ...a stranger during commuting to work or shopping necessities?,ORDINAL,SCALE,During the //__last week__// on how many days did //__you__// have direct physical contact with...
R204,Living_situation: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen,METRIC,SYSTEM,Do you live (select all that apply)...
R204_01,Living_situation: Alone,DICHOTOMOUS,CHECKBOX,Do you live (select all that apply)...
R204_02,Living_situation: With your children,DICHOTOMOUS,CHECKBOX,Do you live (select all that apply)...
R204_03,Living_situation: With your partner,DICHOTOMOUS,CHECKBOX,Do you live (select all that apply)...
R204_04,Living_situation: With your parents,DICHOTOMOUS,CHECKBOX,Do you live (select all that apply)...
R204_05,Living_situation: In a flatshare,DICHOTOMOUS,CHECKBOX,Do you live (select all that apply)...
R204_06,Living_situation: Other,DICHOTOMOUS,CHECKBOX,Do you live (select all that apply)...
R208,Relationship,NOMINAL,SELECTION,Do you have a spouse/romantic partner?
R201,Deaths_known_you_direct,NOMINAL,SELECTION,How many people do you directly know who have died due to the new corona virus?
R203,Infections_proximity: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen,METRIC,SYSTEM,If you know anyone who has been infected with the Coronavirus. how close do they live to you? (Select all that apply)
R203_01,Infections_proximity: Same flat,DICHOTOMOUS,CHECKBOX,If you know anyone who has been infected with the Coronavirus. how close do they live to you? (Select all that apply)
R203_02,Infections_proximity: Same house,DICHOTOMOUS,CHECKBOX,If you know anyone who has been infected with the Coronavirus. how close do they live to you? (Select all that apply)
R203_03,Infections_proximity: Same neighbourhood,DICHOTOMOUS,CHECKBOX,If you know anyone who has been infected with the Coronavirus. how close do they live to you? (Select all that apply)
R203_04,Infections_proximity: Same city,DICHOTOMOUS,CHECKBOX,If you know anyone who has been infected with the Coronavirus. how close do they live to you? (Select all that apply)
R203_05,Infections_proximity: Same country,DICHOTOMOUS,CHECKBOX,If you know anyone who has been infected with the Coronavirus. how close do they live to you? (Select all that apply)
TIME001,Verweildauer Seite 1,METRIC,SYSTEM,
TIME002,Verweildauer Seite 2,METRIC,SYSTEM,
TIME003,Verweildauer Seite 3,METRIC,SYSTEM,
TIME004,Verweildauer Seite 4,METRIC,SYSTEM,
TIME005,Verweildauer Seite 5,METRIC,SYSTEM,
TIME006,Verweildauer Seite 6,METRIC,SYSTEM,
TIME007,Verweildauer Seite 7,METRIC,SYSTEM,
TIME008,Verweildauer Seite 8,METRIC,SYSTEM,
TIME009,Verweildauer Seite 9,METRIC,SYSTEM,
TIME010,Verweildauer Seite 10,METRIC,SYSTEM,
TIME011,Verweildauer Seite 11,METRIC,SYSTEM,
TIME012,Verweildauer Seite 12,METRIC,SYSTEM,
TIME013,Verweildauer Seite 13,METRIC,SYSTEM,
TIME014,Verweildauer Seite 14,METRIC,SYSTEM,
TIME_SUM,Verweildauer gesamt (ohne Ausreißer),METRIC,SYSTEM,
FINISHED,Wurde die Befragung abgeschlossen (letzte Seite erreicht)?,BOOL,SYSTEM,
Q_VIEWER,Hat der Teilnehmer den Fragebogen nur angesehen. ohne die Pflichtfragen zu beantworten?,BOOL,SYSTEM,
LASTPAGE,Seite. die der Teilnehmer zuletzt bearbeitet hat,METRIC,SYSTEM,
MAXPAGE,Letzte Seite. die im Fragebogen bearbeitet wurde,METRIC,SYSTEM,
MISSING,Anteil fehlender Antworten in Prozent,METRIC,SYSTEM,
MISSREL,Anteil fehlender Antworten (gewichtet nach Relevanz),METRIC,SYSTEM,
